Company,Predicted SDG Component,Percentage Prediction,Keywords
V-Guard Industries Ltd,"GOAL 9: Industry, Innovation and Infrastructure",79.9%,"manufacturing, technology, efficiency, construction"
Techno Electric & Engineering Company Ltd,GOAL 12: Responsible Consumption and Production,49.5%,"sustainable, renewable"
Vesuvius India Ltd,GOAL 8: Decent Work and Economic Growth,41.9%,
CG Power and Industrial Solutions Limited,GOAL 12: Responsible Consumption and Production,95.6%,sustainable
Kirloskar Ferrous Industries Ltd,GOAL 12: Responsible Consumption and Production,32.2%,
IRB,GOAL 12: Responsible Consumption and Production,91.8%,sustainable
Larsen & Toubro,"GOAL 16: Peace, Justice and Strong Institutions",78.4%,"governance, accountability, law"
Transformers & Rectifiers India Ltd,GOAL 12: Responsible Consumption and Production,54.9%,
Ingersoll-Rand (India) Ltd,GOAL 8: Decent Work and Economic Growth,63.7%,"innovation, workforce"
Garden Reach Shipbuilders & Engineers Ltd,GOAL 12: Responsible Consumption and Production,27.8%,sustainable
ISGEC Heavy Engineering Ltd,GOAL 12: Responsible Consumption and Production,84.2%,sustainable
Havells,GOAL 8: Decent Work and Economic Growth,38.6%,"employment, workforce, enterprise"
GMR Infrastructure Limited,GOAL 8: Decent Work and Economic Growth,25.9%,enterprise
Elecon Engineering Company Ltd,"GOAL 9: Industry, Innovation and Infrastructure",88.0%,"technology, construction"
Thermax,GOAL 12: Responsible Consumption and Production,97.4%,sustainable
Kirloskar Brothers Ltd,GOAL 12: Responsible Consumption and Production,43.1%,"efficiency, renewable, sustainable"
Bharat Dynamics Limited,"GOAL 9: Industry, Innovation and Infrastructure",54.5%,technology
Supreme,GOAL 8: Decent Work and Economic Growth,55.7%,employment
Apar Industries Limited,GOAL 8: Decent Work and Economic Growth,48.0%,employment
Ramkrishna Forgings Ltd,GOAL 12: Responsible Consumption and Production,59.9%,
BEML,GOAL 13: Climate Action,35.6%,policy
Indian railway catering and tourism corporation LTD,GOAL 12: Responsible Consumption and Production,93.6%,"efficiency, sustainable, biodegradable"
Rail Vikas Nigam Limited,GOAL 12: Responsible Consumption and Production,89.5%,
KSB Ltd,"GOAL 9: Industry, Innovation and Infrastructure",79.0%,
Finolex Industries,GOAL 8: Decent Work and Economic Growth,41.6%,"workforce, employment"
CRISIL,GOAL 12: Responsible Consumption and Production,95.6%,"sustainable, efficiency"
Great Eastern Shipping Company Ltd,GOAL 12: Responsible Consumption and Production,53.2%,"efficiency, sustainable"
Adani Ports and Logistics,GOAL 7: Affordable and Clean Energy,96.7%,"renewable, sustainable, efficiency"
Kalpataru Projects,GOAL 12: Responsible Consumption and Production,92.9%,"efficiency, sustainable"
Gravita India Ltd,GOAL 12: Responsible Consumption and Production,97.2%,recycling
Finolex Cables Limited,GOAL 12: Responsible Consumption and Production,89.6%,
Cera Sanitaryware Ltd,GOAL 12: Responsible Consumption and Production,55.6%,packaging
Siemens,"GOAL 9: Industry, Innovation and Infrastructure",88.1%,"manufacturing, logistics, digitalization, automation, technology, efficiency"
Astral Limited,GOAL 12: Responsible Consumption and Production,81.8%,sustainable
NCC Limited,GOAL 12: Responsible Consumption and Production,39.7%,
Ashok Leyland,GOAL 7: Affordable and Clean Energy,85.7%,sustainable
GE T&D India Limited,GOAL 12: Responsible Consumption and Production,97.9%,"sustainable, efficiency, packaging"
KEI Industries,GOAL 12: Responsible Consumption and Production,66.4%,renewable
Grindwell Norton,GOAL 12: Responsible Consumption and Production,89.9%,efficiency
Bharat Electronics,GOAL 12: Responsible Consumption and Production,95.2%,
Praj Industries Ltd,"GOAL 9: Industry, Innovation and Infrastructure",88.9%,"manufacturing, technology, digitalization, efficiency"
HBL Power Systems Ltd,GOAL 12: Responsible Consumption and Production,34.1%,
Bharat Heavy Electricals Limited,GOAL 12: Responsible Consumption and Production,90.2%,"sustainable, efficiency"
Cyient,"GOAL 9: Industry, Innovation and Infrastructure",98.8%,"technology, automation, research, manufacturing, efficiency"
Esab India Ltd,GOAL 12: Responsible Consumption and Production,57.9%,
Concor,"GOAL 9: Industry, Innovation and Infrastructure",30.8%,"logistics, technology"
RHI Magnesita India Ltd,GOAL 12: Responsible Consumption and Production,64.5%,sustainable
