Company,Predicted SDG Component,Percentage Prediction,Keywords
Godawari Power & Ispat Ltd,GOAL 8: Decent Work and Economic Growth,54.1%,
JKCement,GOAL 12: Responsible Consumption and Production,94.6%,"efficiency, renewable, sustainable"
Akzo Nobel India Ltd,GOAL 12: Responsible Consumption and Production,94.4%,sustainable
RCF,GOAL 12: Responsible Consumption and Production,66.7%,
Shree Cement Ltd,GOAL 12: Responsible Consumption and Production,62.8%,"sustainable, efficiency"
PI Industries Limited,GOAL 12: Responsible Consumption and Production,96.3%,sustainable
Asian Paints,GOAL 12: Responsible Consumption and Production,81.5%,"sustainable, recycling, efficiency"
Electrosteel Castings Ltd,GOAL 12: Responsible Consumption and Production,54.3%,
Hindalco,GOAL 12: Responsible Consumption and Production,97.2%,"sustainable, efficiency, renewable"
Chambal Fertilisers & Chemicals Ltd,GOAL 13: Climate Action,45.5%,policy
Alkyl Amines Chemicals Ltd,GOAL 8: Decent Work and Economic Growth,25.4%,
Hindustan Zinc,GOAL 12: Responsible Consumption and Production,97.7%,"efficiency, sustainable"
Bayer CropScience Limited,GOAL 12: Responsible Consumption and Production,81.2%,sustainable
Hindustan Copper Limited,"GOAL 9: Industry, Innovation and Infrastructure",61.3%,construction
Maharashtra Seamless Ltd,GOAL 12: Responsible Consumption and Production,68.4%,
Llloyds Metals and Energy Limited,GOAL 8: Decent Work and Economic Growth,50.2%,"wages, employment"
JSW Steel,GOAL 12: Responsible Consumption and Production,91.9%,"sustainable, efficiency"
Jindal Steel & Power,GOAL 12: Responsible Consumption and Production,58.3%,sustainable
Tata Steel,GOAL 12: Responsible Consumption and Production,94.2%,"efficiency, sustainable, recycling"
JK Lakshmi Cement Ltd,GOAL 12: Responsible Consumption and Production,68.3%,efficiency
APL Apollo Tubes Limited,GOAL 12: Responsible Consumption and Production,62.6%,efficiency
JK Paper Ltd,"GOAL 9: Industry, Innovation and Infrastructure",51.6%,manufacturing
KIOCL Limited,GOAL 12: Responsible Consumption and Production,97.5%,sustainable
