Company,Predicted SDG Component,Percentage Prediction,Keywords
Sandur Manganese & Iron Ores Ltd,GOAL 12: Responsible Consumption and Production,98.5%,"efficiency, sustainable, renewable"
Star Cement Ltd,GOAL 13: Climate Action,27.6%,policy
Jindal Steel & power,GOAL 12: Responsible Consumption and Production,97.4%,sustainable
Coromandel,GOAL 12: Responsible Consumption and Production,97.4%,"efficiency, sustainable"
Alkyl Amines Chemicals Ltd,GOAL 8: Decent Work and Economic Growth,51.9%,
century Textiles and Industries Limited,"GOAL 9: Industry, Innovation and Infrastructure",38.4%,"efficiency, technology, manufacturing"
Linde,GOAL 7: Affordable and Clean Energy,46.5%,"solar, sustainable, efficiency"
Hindalco,GOAL 5: Gender Equality,24.9%,"women, advocacy, rights, equity, empowerment"
NMDC,GOAL 12: Responsible Consumption and Production,98.6%,"efficiency, sustainable"
Godawari Power & Ispat Ltd,GOAL 12: Responsible Consumption and Production,51.9%,efficiency
Birla Corporation Ltd,GOAL 8: Decent Work and Economic Growth,57.5%,employment
Tata Steel,GOAL 12: Responsible Consumption and Production,52.0%,"sustainable, recycling, renewable, efficiency"
Tata chemicals Limited,GOAL 11: Sustainable Cities and Communities,15.4%,
