Company,Predicted SDG Component,Percentage Prediction,Keywords
KEI Industries Limited,GOAL 12: Responsible Consumption and Production,65.6%,renewable
Concor,GOAL 12: Responsible Consumption and Production,93.6%,"sustainable, efficiency"
Rites Ltd,"GOAL 9: Industry, Innovation and Infrastructure",97.0%,"technology, efficiency, construction, research"
Jupiter Wagons Limited,GOAL 11: Sustainable Cities and Communities,93.8%,infrastructure
Rail Vikas Nigam Limited,GOAL 12: Responsible Consumption and Production,91.6%,
Kalpataru Projects,GOAL 12: Responsible Consumption and Production,94.5%,"efficiency, sustainable"
Elecon Engineering Company Ltd,"GOAL 9: Industry, Innovation and Infrastructure",73.5%,"logistics, research, technology"
Vesuvius India Ltd,GOAL 12: Responsible Consumption and Production,94.1%,
Jaiprakash Power Ventures Ltd,GOAL 8: Decent Work and Economic Growth,56.6%,
V-Guard Industries Ltd,"GOAL 9: Industry, Innovation and Infrastructure",73.0%,"technology, efficiency"
KSB Ltd,GOAL 12: Responsible Consumption and Production,91.8%,
Escorts Kubota Limited,GOAL 12: Responsible Consumption and Production,90.0%,sustainable
BLS International Services Ltd,"GOAL 9: Industry, Innovation and Infrastructure",84.3%,"manufacturing, technology, efficiency"
Shipping Corporation of India Ltd,GOAL 12: Responsible Consumption and Production,97.3%,efficiency
BEML,GOAL 12: Responsible Consumption and Production,82.5%,sustainable
Bharat Dynamics Limited,"GOAL 9: Industry, Innovation and Infrastructure",77.1%,"technology, research, manufacturing"
SKF India Limited,GOAL 12: Responsible Consumption and Production,92.0%,sustainable
Praj Industries Ltd,"GOAL 9: Industry, Innovation and Infrastructure",69.4%,"manufacturing, technology"
KNR Constructions Ltd,GOAL 3: Good Health and Well-being,99.5%,prevention
Cyient,"GOAL 9: Industry, Innovation and Infrastructure",98.0%,"technology, efficiency, manufacturing, research"
Lakshmi Machine Works Ltd,"GOAL 9: Industry, Innovation and Infrastructure",67.1%,"manufacturing, efficiency, technology, logistics, research, patents, construction"
Kirloskar Brothers Ltd,GOAL 12: Responsible Consumption and Production,46.6%,"sustainable, renewable"
Titagarh Rail Systems Ltd,"GOAL 9: Industry, Innovation and Infrastructure",75.9%,"manufacturing, technology, research, digitalization"
Polycab India Limited,GOAL 12: Responsible Consumption and Production,53.7%,"sustainable, renewable, efficiency, recycling"
Voltas Limited,GOAL 12: Responsible Consumption and Production,89.7%,
Havells,GOAL 8: Decent Work and Economic Growth,37.0%,"innovation, workforce, employment, enterprise"
AIA Engineering Limited,GOAL 12: Responsible Consumption and Production,84.6%,sustainable
Bharat Heavy Electricals Limited,GOAL 12: Responsible Consumption and Production,96.1%,sustainable
Graphite India Ltd,"GOAL 9: Industry, Innovation and Infrastructure",93.3%,
Cochin Shipyard Limited,"GOAL 9: Industry, Innovation and Infrastructure",41.5%,"logistics, technology, research, construction"
Kirloskar Ferrous Industries Ltd,GOAL 12: Responsible Consumption and Production,29.1%,efficiency
Apar Industries Limited,GOAL 8: Decent Work and Economic Growth,62.1%,"productivity, wages"
Honeywell,"GOAL 9: Industry, Innovation and Infrastructure",87.6%,"automation, manufacturing, digitalization, efficiency, technology"
Triveni Turbine Ltd,GOAL 12: Responsible Consumption and Production,64.8%,"sustainable, efficiency"
Genus Power Infrastructures Ltd,GOAL 12: Responsible Consumption and Production,96.5%,
Larsen & Toubro,GOAL 12: Responsible Consumption and Production,53.7%,"recycling, efficiency"
Cera Sanitaryware Ltd,GOAL 8: Decent Work and Economic Growth,62.0%,employment
Ircon,GOAL 12: Responsible Consumption and Production,97.5%,renewable
Grindwell Norton,"GOAL 9: Industry, Innovation and Infrastructure",73.8%,"technology, manufacturing, efficiency"
Great Eastern Shipping Company Ltd,GOAL 12: Responsible Consumption and Production,66.8%,efficiency
Engineers India Ltd,"GOAL 9: Industry, Innovation and Infrastructure",43.4%,"research, technology, construction, manufacturing"
Garden Reach Shipbuilders & Engineers Ltd,GOAL 14: Life Below Water,51.9%,marine
ISGEC Heavy Engineering Ltd,GOAL 12: Responsible Consumption and Production,94.3%,sustainable
Ingersoll-Rand (India) Ltd,GOAL 7: Affordable and Clean Energy,95.4%,sustainable
Siemens,"GOAL 9: Industry, Innovation and Infrastructure",66.3%,"manufacturing, efficiency, technology"
CRISIL Limited,"GOAL 16: Peace, Justice and Strong Institutions",95.7%,"governance, law"
CG Power and Industrial Solutions,GOAL 12: Responsible Consumption and Production,93.9%,sustainable
3M India Limited,GOAL 12: Responsible Consumption and Production,96.6%,"efficiency, packaging"
