Company,Predicted SDG Component,Percentage Prediction,Keywords
Finolex Cables,GOAL 12: Responsible Consumption and Production,42.1%,sustainable
Shipping Corporation of India Ltd,GOAL 12: Responsible Consumption and Production,97.7%,"sustainable, efficiency"
Ramkrishna Forgings Ltd,GOAL 8: Decent Work and Economic Growth,37.4%,employment
Quess Corp Ltd,GOAL 8: Decent Work and Economic Growth,88.9%,"employment, workforce, enterprise, innovation"
KSB Ltd,GOAL 12: Responsible Consumption and Production,64.8%,
Shree cement Ltd,GOAL 12: Responsible Consumption and Production,73.6%,"sustainable, efficiency"
V-Guard Industries Ltd,GOAL 12: Responsible Consumption and Production,94.4%,
Voltas,GOAL 12: Responsible Consumption and Production,89.5%,"sustainable, efficiency"
IRB Infrastructure Developers Limited,GOAL 3: Good Health and Well-being,90.8%,
KNR Constructions Ltd,GOAL 12: Responsible Consumption and Production,98.7%,"sustainable, recycling, efficiency"
